"","ID","rater","ranking"
"1","1","1",3
"2","2","1",6
"3","3","1",3
"4","4","1",3
"5","5","1",1
"6","6","1",2
"7","7","1",2
"8","8","1",2
"9","1","2",4
"10","2","2",5
"11","3","2",4
"12","4","2",4
"13","5","2",2
"14","6","2",3
"15","7","2",4
"16","8","2",3
"17","1","3",7
"18","2","3",8
"19","3","3",7
"20","4","3",6
"21","5","3",5
"22","6","3",6
"23","7","3",5
"24","8","3",6
"25","1","4",8
"26","2","4",9
"27","3","4",9
"28","4","4",8
"29","5","4",10
"30","6","4",10
"31","7","4",9
"32","8","4",10
