sex,height,shoesize,smoker,handed,mothand,fathhand,hairappt,songs,gpa_grade,gpa,exercise,exercise_cat,polview,tv,coffee,sleep,drinks,pepsicok,haircol,eyecolor,distance,distance_cat,books,studyhrs,studyhrs_cat,mostint,leastint
0,67,9.5,0,1,1,1,13,20,4,4,3,3,4,6,0,9,0.5,1,3,3,1,1,0,3,1,16,8
0,67,9.5,0,1,1,1,13,20,4,4,3,3,4,6,0,9,0.5,1,3,3,1,1,0,3,1,16,8
0,67,9.5,0,1,1,1,13,20,4,4,3,3,4,6,0,9,0.5,1,3,3,1,1,0,3,1,16,8
0,67,9.5,0,1,1,1,13,20,4,4,3,3,4,6,0,9,0.5,1,3,3,1,1,0,3,1,16,8
0,73,13,0,1,1,1,10,10,1,3,6,4,2,15,0,6,0,0,1,3,60,2,0,3,1,10,13
0,73,13,0,1,1,1,10,10,1,3,6,4,2,15,0,6,0,0,1,3,60,2,0,3,1,10,13
0,73,13,0,1,1,1,10,10,1,3,6,4,2,15,0,6,0,0,1,3,60,2,0,3,1,10,13
0,73,13,0,1,1,1,10,10,1,3,6,4,2,15,0,6,0,0,1,3,60,2,0,3,1,10,13
1,70,9,0,1,1,1,20,25,2,3.6,4,3,3,8,0,6,5,1,3,2,80,3,1,4,1,6,3
1,70,9,0,1,1,1,20,25,2,3.6,4,3,3,8,0,6,5,1,3,2,80,3,1,4,1,6,3
1,70,9,0,1,1,1,20,25,2,3.6,4,3,3,8,0,6,5,1,3,2,80,3,1,4,1,6,3
1,70,9,0,1,1,1,20,25,2,3.6,4,3,3,8,0,6,5,1,3,2,80,3,1,4,1,6,3
1,63,9,0,1,0,1,25,25,3,3.667,1,2,3,20,0,4,2,1,1,3,1,1,0,5,1,12,17
1,63,9,0,1,0,1,25,25,3,3.667,1,2,3,20,0,4,2,1,1,3,1,1,0,5,1,12,17
1,63,9,0,1,0,1,25,25,3,3.667,1,2,3,20,0,4,2,1,1,3,1,1,0,5,1,12,17
1,63,9,0,1,0,1,25,25,3,3.667,1,2,3,20,0,4,2,1,1,3,1,1,0,5,1,12,17
0,73,11.5,0,1,1,1,0,20,4,4,4,3,3,4,0,4.5,0,1,3,3,0,1,1,5,1,7,21
0,73,11.5,0,1,1,1,0,20,4,4,4,3,3,4,0,4.5,0,1,3,3,0,1,1,5,1,7,21
0,73,11.5,0,1,1,1,0,20,4,4,4,3,3,4,0,4.5,0,1,3,3,0,1,1,5,1,7,21
0,73,11.5,0,1,1,1,0,20,4,4,4,3,3,4,0,4.5,0,1,3,3,0,1,1,5,1,7,21
1,67,9,0,1,1,1,85,20,4,4,4,3,3,20,0,6,0,1,3,2,125,3,4,5,1,16,4
1,67,9,0,1,1,1,85,20,4,4,4,3,3,20,0,6,0,1,3,2,125,3,4,5,1,16,4
1,67,9,0,1,1,1,85,20,4,4,4,3,3,20,0,6,0,1,3,2,125,3,4,5,1,16,4
1,67,9,0,1,1,1,85,20,4,4,4,3,3,20,0,6,0,1,3,2,125,3,4,5,1,16,4
1,62,7,0,1,1,1,115,45,3,3.75,5,4,3,10,0,10,2,1,2,2,0.5,1,0,5,1,16,11
1,62,7,0,1,1,1,115,45,3,3.75,5,4,3,10,0,10,2,1,2,2,0.5,1,0,5,1,16,11
1,62,7,0,1,1,1,115,45,3,3.75,5,4,3,10,0,10,2,1,2,2,0.5,1,0,5,1,16,11
1,62,7,0,1,1,1,115,45,3,3.75,5,4,3,10,0,10,2,1,2,2,0.5,1,0,5,1,16,11
1,62,7.5,0,1,1,1,25,25,2,3.5,6,4,5,5,0,6.5,0,1,3,2,0.5,1,1,5,1,16,21
1,62,7.5,0,1,1,1,25,25,2,3.5,6,4,5,5,0,6.5,0,1,3,2,0.5,1,1,5,1,16,21
1,62,7.5,0,1,1,1,25,25,2,3.5,6,4,5,5,0,6.5,0,1,3,2,0.5,1,1,5,1,16,21
1,62,7.5,0,1,1,1,25,25,2,3.5,6,4,5,5,0,6.5,0,1,3,2,0.5,1,1,5,1,16,21
0,60,12,0,1,1,1,10,100,2,3.5,6,4,3,5,1,8,0,1,3,2,3.5,1,0,5,1,16,1
0,60,12,0,1,1,1,10,100,2,3.5,6,4,3,5,1,8,0,1,3,2,3.5,1,0,5,1,16,1
0,60,12,0,1,1,1,10,100,2,3.5,6,4,3,5,1,8,0,1,3,2,3.5,1,0,5,1,16,1
0,60,12,0,1,1,1,10,100,2,3.5,6,4,3,5,1,8,0,1,3,2,3.5,1,0,5,1,16,1
0,62,8.5,0,1,1,1,75,0,2,3.4,1,2,1,6,0,5,0,1,1,1,69,2,0,6,2,8,16
0,62,8.5,0,1,1,1,75,0,2,3.4,1,2,1,6,0,5,0,1,1,1,69,2,0,6,2,8,16
1,62,8.5,0,1,1,1,75,0,2,3.4,1,2,1,6,0,5,0,1,1,1,69,2,0,6,2,8,16
1,62,8.5,0,1,1,1,75,0,2,3.4,1,2,1,6,0,5,0,1,1,1,69,2,0,6,2,8,16
1,78,9,0,1,1,1,30,50,2,3.36,5,4,3,12,0,5,2,1,3,4,0.5,1,1,6,2,6,13
1,78,9,0,1,1,1,30,50,2,3.36,5,4,3,12,0,5,2,1,3,4,0.5,1,1,6,2,6,13
1,78,9,0,1,1,1,30,50,2,3.36,5,4,3,12,0,5,2,1,3,4,0.5,1,1,6,2,6,13
1,78,9,0,1,1,1,30,50,2,3.36,5,4,3,12,0,5,2,1,3,4,0.5,1,1,6,2,6,13
1,70,8,0,1,1,1,50,5,2,3.4,8,5,3,20,0,4,0,1,1,3,6,1,5,7,2,11,15
1,70,8,0,1,1,1,50,5,2,3.4,8,5,3,20,0,4,0,1,1,3,6,1,5,7,2,11,15
1,70,8,0,1,1,1,50,5,2,3.4,8,5,3,20,0,4,0,1,1,3,6,1,5,7,2,11,15
1,70,8,0,1,1,1,50,5,2,3.4,8,5,3,20,0,4,0,1,1,3,6,1,5,7,2,11,15
0,67.5,9,1,0,0,1,170,20,4,4,2,2,1,14,5,7,1,1,2,2,110,3,12,10,2,11,16
0,67.5,9,1,0,0,1,170,20,4,4,2,2,1,14,5,7,1,1,2,2,110,3,12,10,2,11,16
1,67.5,9,1,0,0,1,170,20,4,4,2,2,1,14,5,7,1,1,2,2,110,3,12,10,2,11,16
1,67.5,9,1,0,0,1,170,20,4,4,2,2,1,14,5,7,1,1,2,2,110,3,12,10,2,11,16
1,63,7,0,1,1,1,20,30,4,4,3,3,4,5,0,6,1,1,3,5,67,2,1,10,2,6,2
1,63,7,0,1,1,1,20,30,4,4,3,3,4,5,0,6,1,1,3,5,67,2,1,10,2,6,2
1,63,7,0,1,1,1,20,30,4,4,3,3,4,5,0,6,1,1,3,5,67,2,1,10,2,6,2
1,63,7,0,1,1,1,20,30,4,4,3,3,4,5,0,6,1,1,3,5,67,2,1,10,2,6,2
1,64,8.5,0,1,1,1,200,250,4,4,7,5,2,10,0,7,0,1,3,2,5,1,9,11,3,20,15
1,64,8.5,0,1,1,1,200,250,4,4,7,5,2,10,0,7,0,1,3,2,5,1,9,11,3,20,15
1,64,8.5,0,1,1,1,200,250,4,4,7,5,2,10,0,7,0,1,3,2,5,1,9,11,3,20,15
1,64,8.5,0,1,1,1,200,250,4,4,7,5,2,10,0,7,0,1,3,2,5,1,9,11,3,20,15
1,64,9,0,1,1,1,16,8,4,4,2,2,3,2,0,7,0,1,3,5,2,1,2,12,3,16,7
1,64,9,0,1,1,1,16,8,4,4,2,2,3,2,0,7,0,1,3,5,2,1,2,12,3,16,7
1,64,9,0,1,1,1,16,8,4,4,2,2,3,2,0,7,0,1,3,5,2,1,2,12,3,16,7
1,64,9,0,1,1,1,16,8,4,4,2,2,3,2,0,7,0,1,3,5,2,1,2,12,3,16,7
0,71,8,0,1,1,1,0,100,4,4,2,2,5,0,5,6,0,0,1,3,105,3,2,15,3,8,5
0,71,8,0,1,1,1,0,100,4,4,2,2,5,0,5,6,0,0,1,3,105,3,2,15,3,8,5
0,71,8,0,1,1,1,0,100,4,4,2,2,5,0,5,6,0,0,1,3,105,3,2,15,3,8,5
0,71,8,0,1,1,1,0,100,4,4,2,2,5,0,5,6,0,0,1,3,105,3,2,15,3,8,5
0,73,10,0,0,1,1,20,40,4,4,3,3,3,10,0,6,0,1,3,4,60,2,1,15,3,5,15
0,73,10,0,0,1,1,20,40,4,4,3,3,3,10,0,6,0,1,3,4,60,2,1,15,3,5,15
0,73,10,0,0,1,1,20,40,4,4,3,3,3,10,0,6,0,1,3,4,60,2,1,15,3,5,15
0,73,10,0,0,1,1,20,40,4,4,3,3,3,10,0,6,0,1,3,4,60,2,1,15,3,5,15
0,65,9,0,1,1,1,80,20,4,4,0,1,1,4,1,5,2,1,4,4,60,2,1,20,4,6,8
0,65,9,0,1,1,1,80,20,4,4,0,1,1,4,1,5,2,1,4,4,60,2,1,20,4,6,8
1,65,9,0,1,1,1,80,20,4,4,0,1,1,4,1,5,2,1,4,4,60,2,1,20,4,6,8
1,65,9,0,1,1,1,80,20,4,4,0,1,1,4,1,5,2,1,4,4,60,2,1,20,4,6,8
0,71,8,0,0,0,0,100,75,4,4,5,4,1,10,0,7,2,1,4,4,2,1,5,20,4,17,4
0,71,8,0,0,0,0,100,75,4,4,5,4,1,10,0,7,2,1,4,4,2,1,5,20,4,17,4
1,71,8,0,0,0,0,100,75,4,4,5,4,1,10,0,7,2,1,4,4,2,1,5,20,4,17,4
1,71,8,0,0,0,0,100,75,4,4,5,4,1,10,0,7,2,1,4,4,2,1,5,20,4,17,4
0,72,11,0,1,1,1,25,15,1,3,5,4,2,8,0,8,0,1,3,3,3,1,1,20,4,16,2
0,72,11,0,1,1,1,25,15,1,3,5,4,2,8,0,8,0,1,3,3,3,1,1,20,4,16,2
0,72,11,0,1,1,1,25,15,1,3,5,4,2,8,0,8,0,1,3,3,3,1,1,20,4,16,2
0,72,11,0,1,1,1,25,15,1,3,5,4,2,8,0,8,0,1,3,3,3,1,1,20,4,16,2
1,63,7.5,0,1,1,1,8,100,4,4,3,3,3,15,0,8,1,1,3,5,6,1,3,25,5,6,11
1,63,7.5,0,1,1,1,8,100,4,4,3,3,3,15,0,8,1,1,3,5,6,1,3,25,5,6,11
1,63,7.5,0,1,1,1,8,100,4,4,3,3,3,15,0,8,1,1,3,5,6,1,3,25,5,6,11
1,63,7.5,0,1,1,1,8,100,4,4,3,3,3,15,0,8,1,1,3,5,6,1,3,25,5,6,11
1,68,11,0,1,1,1,53,300,4,4,0,1,1,35,0,9,0,1,3,3,2,1,0,35,5,6,9
1,68,11,0,1,1,1,53,300,4,4,0,1,1,35,0,9,0,1,3,3,2,1,0,35,5,6,9
1,68,11,0,1,1,1,53,300,4,4,0,1,1,35,0,9,0,1,3,3,2,1,0,35,5,6,9
1,68,11,0,1,1,1,53,300,4,4,0,1,1,35,0,9,0,1,3,3,2,1,0,35,5,6,9
1,61,8,0,1,0,0,25,100,4,4,3,3,3,5,2,8,1,0,1,3,0.5,1,2,50,5,16,15
1,61,8,0,1,0,0,25,100,4,4,3,3,3,5,2,8,1,0,1,3,0.5,1,2,50,5,16,15
1,61,8,0,1,0,0,25,100,4,4,3,3,3,5,2,8,1,0,1,3,0.5,1,2,50,5,16,15
1,61,8,0,1,0,0,25,100,4,4,3,3,3,5,2,8,1,0,1,3,0.5,1,2,50,5,16,15
1,62,9,0,1,1,1,24,25,4,4,3,3,3,7,1,6.5,4,0,5,5,7,1,6,60,5,16,2
1,62,9,0,1,1,1,24,25,4,4,3,3,3,7,1,6.5,4,0,5,5,7,1,6,60,5,16,2
1,62,9,0,1,1,1,24,25,4,4,3,3,3,7,1,6.5,4,0,5,5,7,1,6,60,5,16,2
1,62,9,0,1,1,1,24,25,4,4,3,3,3,7,1,6.5,4,0,5,5,7,1,6,60,5,16,2
